team,player,pos,seasons,year_of_induction
San Antonio Spurs,Tim Duncan,F-C,1998-2016,2020
San Antonio Spurs,Maurice Cheeks,G,1989-1990,2018
San Antonio Spurs,Louie Dampier,G,1977-1979,2015
San Antonio Spurs,Artis Gilmore,C,1983-1987,2011
San Antonio Spurs,Dennis Rodman,F,1994-1995,2011
San Antonio Spurs,David Robinson,C,1990-2003,2009
San Antonio Spurs,Dominique Wilkins,F,1997,2006
San Antonio Spurs,Moses Malone,C,1995,2001
San Antonio Spurs,George Gervin,G-F,1974-1985,1996
San Antonio Spurs,Cliff Hagan,F,1968-1970,1978
