Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Year
Detroit Pistons,27,55,0.329,34.0,94.0,99.1,-5.02,2010
Orlando Magic,59,23,0.72,0.0,102.8,95.3,7.12,2010
Atlanta Hawks,53,29,0.646,6.0,101.7,97.0,4.44,2010
Miami Heat,47,35,0.573,12.0,96.5,94.2,1.99,2010
Charlotte Bobcats,44,38,0.537,15.0,95.3,93.8,1.3,2010
Washington Wizards,26,56,0.317,33.0,96.2,101.0,-4.72,2010
Boston Celtics,56,26,0.683,0.0,96.5,91.1,4.83,2011
New York Knicks,42,40,0.512,14.0,106.5,105.7,0.48,2011
Philadelphia 76ers,41,41,0.5,15.0,99.0,97.5,1.01,2011
New Jersey Nets,24,58,0.293,32.0,94.2,100.4,-6.28,2011
Toronto Raptors,22,60,0.268,34.0,99.1,105.4,-6.28,2011
Chicago Bulls,62,20,0.756,0.0,98.6,91.3,6.53,2011
Indiana Pacers,37,45,0.451,25.0,99.8,100.9,-1.38,2011
Milwaukee Bucks,35,47,0.427,27.0,91.9,92.7,-1.02,2011
Detroit Pistons,30,52,0.366,32.0,97.0,100.6,-3.78,2011
Cleveland Cavaliers,19,63,0.232,43.0,95.5,104.5,-8.88,2011
Miami Heat,58,24,0.707,0.0,102.1,94.6,6.76,2011
Orlando Magic,52,30,0.634,6.0,99.2,93.7,4.92,2011
Atlanta Hawks,44,38,0.537,14.0,95.0,95.8,-1.1,2011
Charlotte Bobcats,34,48,0.415,24.0,93.3,97.3,-4.08,2011
Washington Wizards,23,59,0.28,35.0,97.3,104.7,-7.3,2011
Boston Celtics,39,27,0.591,0.0,91.8,89.3,2.26,2012
New York Knicks,36,30,0.545,3.0,97.8,94.7,2.39,2012
Philadelphia 76ers,35,31,0.53,4.0,93.6,89.4,3.59,2012
Toronto Raptors,23,43,0.348,16.0,90.7,94.0,-3.67,2012
New Jersey Nets,22,44,0.333,17.0,93.1,99.1,-6.37,2012
Chicago Bulls,50,16,0.758,0.0,96.3,88.2,7.43,2012
Indiana Pacers,42,24,0.636,8.0,97.7,94.4,2.6,2012
Milwaukee Bucks,31,35,0.47,19.0,99.0,98.7,-0.23,2012
Detroit Pistons,25,41,0.379,25.0,90.9,95.7,-5.19,2012
Cleveland Cavaliers,21,45,0.318,29.0,93.0,100.2,-7.34,2012
Miami Heat,46,20,0.697,0.0,98.5,92.5,5.72,2012
Atlanta Hawks,40,26,0.606,6.0,96.6,93.2,2.67,2012
Orlando Magic,37,29,0.561,9.0,94.2,93.4,0.46,2012
Washington Wizards,20,46,0.303,26.0,93.6,98.4,-5.14,2012
