Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Year
Los Angeles Lakers,21,61,0.256,46.0,98.5,105.3,-6.17,2015
Houston Rockets,56,26,0.683,0.0,103.9,100.5,3.82,2015
Memphis Grizzlies,55,27,0.671,1.0,98.3,95.1,3.62,2015
San Antonio Spurs,55,27,0.671,1.0,103.2,97.0,6.34,2015
Dallas Mavericks,50,32,0.61,6.0,105.2,102.3,3.36,2015
New Orleans Pelicans,45,37,0.549,11.0,99.4,98.6,1.13,2015
Golden State Warriors,73,9,0.89,0.0,114.9,104.1,10.38,2016
San Antonio Spurs,67,15,0.817,6.0,103.5,92.9,10.28,2016
Oklahoma City Thunder,55,27,0.671,18.0,110.2,102.9,7.09,2016
Los Angeles Clippers,53,29,0.646,20.0,104.5,100.2,4.13,2016
Portland Trail Blazers,44,38,0.537,29.0,105.1,104.3,0.98,2016
Dallas Mavericks,42,40,0.512,31.0,102.3,102.6,-0.02,2016
Memphis Grizzlies,42,40,0.512,31.0,99.1,101.3,-2.14,2016
Houston Rockets,41,41,0.5,32.0,106.5,106.4,0.34,2016
Utah Jazz,40,42,0.488,33.0,97.7,95.9,1.84,2016
Sacramento Kings,33,49,0.402,40.0,106.6,109.1,-2.32,2016
Denver Nuggets,33,49,0.402,40.0,101.9,105.0,-2.81,2016
New Orleans Pelicans,30,52,0.366,43.0,102.7,106.5,-3.56,2016
Minnesota Timberwolves,29,53,0.354,44.0,102.4,106.0,-3.38,2016
Phoenix Suns,23,59,0.28,50.0,100.9,107.5,-6.32,2016
Los Angeles Lakers,17,65,0.207,56.0,97.3,106.9,-8.92,2016
Golden State Warriors,67,15,0.817,0.0,115.9,104.3,11.35,2017
San Antonio Spurs,61,21,0.744,6.0,105.3,98.1,7.13,2017
Houston Rockets,55,27,0.671,12.0,115.3,109.6,5.84,2017
Los Angeles Clippers,51,31,0.622,16.0,108.7,104.4,4.42,2017
Utah Jazz,51,31,0.622,16.0,100.7,96.8,4.0,2017
Oklahoma City Thunder,47,35,0.573,20.0,106.6,105.8,1.14,2017
Memphis Grizzlies,43,39,0.524,24.0,100.5,100.0,0.96,2017
Portland Trail Blazers,41,41,0.5,26.0,107.9,108.5,-0.23,2017
Denver Nuggets,40,42,0.488,27.0,111.7,111.2,0.7,2017
New Orleans Pelicans,34,48,0.415,33.0,104.3,106.4,-1.69,2017
Dallas Mavericks,33,49,0.402,34.0,97.9,100.8,-2.53,2017
Sacramento Kings,32,50,0.39,35.0,102.8,106.7,-3.29,2017
Minnesota Timberwolves,31,51,0.378,36.0,105.6,106.7,-0.64,2017
Los Angeles Lakers,26,56,0.317,41.0,104.6,111.5,-6.29,2017
Phoenix Suns,24,58,0.293,43.0,107.7,113.3,-5.14,2017
Houston Rockets,65,17,0.793,0.0,112.4,103.9,8.21,2018
Golden State Warriors,58,24,0.707,7.0,113.5,107.5,5.79,2018
Portland Trail Blazers,49,33,0.598,16.0,105.6,103.0,2.6,2018
Oklahoma City Thunder,48,34,0.585,17.0,107.9,104.4,3.42,2018
Utah Jazz,48,34,0.585,17.0,104.1,99.8,4.47,2018
New Orleans Pelicans,48,34,0.585,17.0,111.7,110.4,1.48,2018
San Antonio Spurs,47,35,0.573,18.0,102.7,99.8,2.89,2018
Minnesota Timberwolves,47,35,0.573,18.0,109.5,107.3,2.35,2018
Denver Nuggets,46,36,0.561,19.0,110.0,108.5,1.57,2018
Los Angeles Clippers,42,40,0.512,23.0,109.0,109.0,0.15,2018
Los Angeles Lakers,35,47,0.427,30.0,108.1,109.6,-1.44,2018
Sacramento Kings,27,55,0.329,38.0,98.8,105.8,-6.6,2018
Dallas Mavericks,24,58,0.293,41.0,102.3,105.4,-2.7,2018
Memphis Grizzlies,22,60,0.268,43.0,99.3,105.5,-5.81,2018
Phoenix Suns,21,61,0.256,44.0,103.9,113.3,-8.8,2018
Golden State Warriors,57,25,0.695,0.0,117.7,111.2,6.42,2019
