Team Name,Player Link,Player,#,Pos,Seasons With Team,Year of Induction
PHOENIX SUNS,https://www.nba.com/player/1472,Tom Chambers,24,F,1989-1993,1999
PHOENIX SUNS,https://www.nba.com/player/1453,Walter Davis,6,G,1978-1988,1994
PHOENIX SUNS,https://www.nba.com/player/78500,Paul Westphal,44,G,"1976-1980, 1984",1989
PHOENIX SUNS,https://www.nba.com/player/76011,Alvan Adams,33,C,1976-1988,1988
PHOENIX SUNS,https://www.nba.com/player/78398,Dick Van Arsdale,5,G,1969-1977,1978
PHOENIX SUNS,https://www.nba.com/player/76972,Connie Hawkins,42,F,1970-1974,1976
SACRAMENTO KINGS,https://www.nba.com/player/978,Peja Stojakovic,16,F,1999-2006,2014
SACRAMENTO KINGS,https://www.nba.com/player/185,Chris Webber,4,F,1999-2005,2009
SACRAMENTO KINGS,https://www.nba.com/player/124,Vlade Divac,21,C,1999-2004,2009
SACRAMENTO KINGS,https://www.nba.com/player/782,Mitch Richmond,2,G,1992-1998,2003
SACRAMENTO KINGS,https://www.nba.com/player/600015,Oscar Robertson,14,G,1961-1970,1970
SACRAMENTO KINGS,https://www.nba.com/player/76533,Bobby Davies,11,G,1949-1955,
SACRAMENTO KINGS,https://www.nba.com/player/78388,Jack Twyman,27,F,1956-1966,
SACRAMENTO KINGS,https://www.nba.com/player/600016,Maurice Stokes,12,F,1956-1958,
SACRAMENTO KINGS,https://www.nba.com/player/76054,"Nate ""Tiny"" Archibald",1,G,1971-1976,
SACRAMENTO KINGS,https://www.nba.com/player/77326,Sam Lacey,44,C,1971-1981,
SACRAMENTO KINGS,,Sixth Man,6,,,
DALLAS MAVERICKS,https://www.nba.com/player/1717,Dirk Nowitzki,41,F-C,1999-2019,2022
DALLAS MAVERICKS,https://www.nba.com/player/157,Derek Harper,12,G,"1983-1994, 1996-1997",2018
DALLAS MAVERICKS,https://www.nba.com/player/76176,Rolando Blackman,22,G,1982-1992,1999
DALLAS MAVERICKS,https://www.nba.com/player/76516,Brad Davis,15,G,1981-1992,1992
HOUSTON ROCKETS,https://www.nba.com/player/2397,Yao Ming,11,C,2003-2011,2017
HOUSTON ROCKETS,,Carroll Dawson,,"Assistant Coach, General Manager",1980-2007,2007
HOUSTON ROCKETS,https://www.nba.com/player/165,Hakeem Olajuwon,34,C,1985-2001,2002
HOUSTON ROCKETS,https://www.nba.com/player/17,Clyde Drexler,22,G,1995-1998,2000
HOUSTON ROCKETS,https://www.nba.com/player/77449,Moses Malone,24,C,1977-1982,1998
HOUSTON ROCKETS,https://www.nba.com/player/77669,Calvin Murphy,23,G,1971-1983,1984
HOUSTON ROCKETS,https://www.nba.com/player/78350,Rudy Tomjanovich,45,F,1971-1981,1982
MEMPHIS GRIZZLIES,https://www.nba.com/player/2216,Zach Randolph,50,F,2010-2017,2021
NEW ORLEANS PELICANS,https://www.nba.com/player/77459,Pete Maravich,7,G,,2002
