#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
179,Goga Bitadze,ORL,13,21.3,7.9,3.5,5.0,69.2,0.0,0.5,0.0,1.0,1.3,76.5,2.7,4.4,7.1,1.6,0.5,1.3,1.4,15.2
180,Gary Trent Jr.,MIL,13,25.1,7.8,2.5,7.2,35.5,1.6,4.8,33.9,1.2,1.2,93.8,0.1,1.7,1.8,0.8,0.9,0.0,0.5,6.2
181,Haywood Highsmith,MIA,11,24.9,7.8,3.0,5.4,55.9,1.2,2.6,44.8,0.6,1.0,63.6,0.7,2.2,2.9,0.8,1.4,0.5,0.6,10.0
182,Kris Dunn,LAC,16,22.4,7.8,3.2,6.1,52.0,1.3,3.2,39.2,0.2,0.5,37.5,0.8,2.8,3.6,3.0,1.1,0.2,1.2,11.3
183,Malaki Branham,SAS,14,14.1,7.8,2.8,5.9,47.0,1.1,2.5,45.7,1.1,1.3,83.3,0.1,1.7,1.8,1.4,0.4,0.1,1.4,6.8
184,Zach Collins,SAS,16,16.0,7.7,2.6,5.1,51.9,0.7,1.8,37.9,1.8,1.9,90.3,1.2,2.6,3.8,2.0,0.6,0.6,1.1,10.9
185,Mike Conley,MIN,13,25.0,7.5,2.3,7.2,31.9,1.7,5.0,33.8,1.2,1.5,84.2,0.6,2.5,3.2,4.8,1.7,0.2,1.2,11.1
186,Sam Hauser,BOS,12,21.3,7.5,2.8,7.3,37.9,1.9,6.1,31.5,0.1,0.1,100,0.8,2.8,3.5,1.3,0.5,0.3,0.3,8.3
187,Brandin Podziemski,GSW,13,24.2,7.5,3.0,8.2,36.8,0.8,3.7,20.8,0.7,1.2,60.0,1.1,3.5,4.6,3.3,0.9,0.3,1.3,9.7
188,Jalen Smith,CHI,14,14.1,7.4,2.6,5.9,43.4,1.2,3.3,37.0,1.1,1.4,75.0,1.4,3.4,4.8,0.8,0.4,0.4,0.7,9.4
189,Tristan da Silva,ORL,13,25.2,7.3,2.7,6.8,39.8,1.1,3.3,32.6,0.8,1.0,84.6,0.8,3.0,3.8,1.9,0.3,0.2,0.5,8.8
190,Keon Ellis,SAC,14,21.6,7.3,2.4,4.9,48.5,1.4,3.4,42.6,1.1,1.4,84.2,0.9,1.4,2.2,0.8,1.2,0.9,1.0,8.6
190,Kyle Filipowski,UTA,14,19.0,7.3,2.8,5.4,51.3,0.6,2.1,30.0,1.1,2.1,51.7,0.9,3.8,4.7,2.1,0.6,0.1,1.0,10.2
192,Noah Clowney,BKN,13,16.0,7.1,2.4,6.4,37.3,1.4,4.0,34.6,0.9,1.3,70.6,1.1,2.1,3.2,0.8,0.3,0.5,0.7,6.7
193,Jeremiah Robinson-Earl,NOP,16,20.7,7.0,2.6,6.1,41.8,0.9,2.7,32.6,1.0,1.2,84.2,2.3,2.4,4.6,1.1,0.6,0.1,0.9,8.8
193,Yves Missi,NOP,16,23.2,7.0,2.8,5.3,52.4,0.0,0.0,0.0,1.5,2.2,68.6,3.1,3.9,6.9,1.6,0.6,1.1,1.1,12.9
195,Kentavious Caldwell-Pope,ORL,16,29.9,6.9,2.3,6.8,33.9,1.0,4.4,22.9,1.3,1.3,100,0.4,1.9,2.3,1.9,1.3,0.5,0.7,7.8
196,Ryan Dunn,PHX,15,18.8,6.9,2.7,6.5,42.3,1.4,4.2,33.3,0.1,0.4,16.7,0.7,1.9,2.6,0.8,0.5,0.5,0.5,6.7
197,Sam Merrill,CLE,13,19.6,6.8,2.2,5.4,41.4,1.8,4.8,38.1,0.5,0.5,100,0.2,1.5,1.6,1.5,0.6,0.2,0.5,7.1
198,Isaiah Stewart,DET,17,22.5,6.8,2.6,4.4,60.0,0.2,0.6,30.0,1.3,1.5,84.6,2.6,4.4,7.0,2.0,0.5,1.3,1.2,14.4
199,Josh Green,CHA,13,24.8,6.5,2.2,4.7,47.5,1.5,2.6,55.9,0.5,0.8,63.6,0.6,1.7,2.3,1.8,0.6,0.3,0.8,7.8
200,Neemias Queta,BOS,14,18.9,6.4,2.9,4.5,63.5,0.0,0.1,0.0,0.7,1.0,71.4,2.1,3.2,5.4,0.7,0.1,0.8,0.8,10.7
201,Simone Fontecchio,DET,15,19.1,6.4,2.0,5.3,38.0,1.3,3.7,34.5,1.1,1.4,81.0,0.6,2.6,3.2,0.9,0.3,0.1,0.7,6.6
202,Cason Wallace,OKC,16,25.8,6.4,2.7,6.7,40.2,0.8,3.0,27.1,0.2,0.2,100,0.8,2.5,3.3,1.9,1.7,0.5,0.4,9.3
203,Jonathan Isaac,ORL,14,16.6,6.3,2.4,4.9,47.8,0.8,2.6,30.6,0.8,1.3,61.1,1.8,2.9,4.6,0.3,0.7,1.2,0.5,9.6
204,David Roddy,ATL,12,16.7,6.3,2.3,3.9,57.4,0.8,1.9,43.5,0.9,1.1,84.6,0.3,2.9,3.3,1.6,0.5,0.2,1.1,8.8
204,Javonte Green,NOP,16,24.1,6.3,2.1,5.1,40.7,0.8,2.2,34.3,1.4,1.6,88.0,1.1,2.3,3.4,0.8,1.1,0.6,0.4,8.4
206,Trey Lyles,SAC,15,20.7,6.2,2.1,5.7,36.5,1.4,4.1,34.4,0.7,0.8,83.3,0.9,3.2,4.1,1.0,0.5,0.6,0.5,8.1
207,Kyle Lowry,PHI,13,24.2,6.2,1.8,4.8,38.1,1.3,3.7,35.4,1.2,1.5,78.9,0.5,1.8,2.2,3.4,1.2,0.4,0.8,9.2
208,Donovan Clingan,POR,15,16.6,6.0,2.4,4.3,55.4,0.1,0.4,33.3,1.1,1.5,72.7,2.8,3.1,5.9,0.2,0.5,2.1,0.9,11.5
209,Isaac Okoro,CLE,15,20.2,5.9,2.1,4.3,49.2,1.1,2.4,44.4,0.5,0.9,61.5,0.7,1.3,2.1,1.5,0.8,0.3,0.3,7.8
210,Brandon Clarke,MEM,15,16.1,5.8,2.5,5.1,50.0,0.1,1.1,6.3,0.7,0.9,76.9,1.2,2.5,3.7,0.6,0.9,0.1,0.3,8.0
211,Ben Sheppard,IND,13,20.9,5.8,2.2,5.1,42.4,1.5,3.6,40.4,0.0,0.0,0.0,0.4,1.8,2.2,1.3,0.4,0.3,0.4,6.7
212,Lindy Waters III,GSW,12,15.4,5.8,2.2,4.6,47.3,1.3,3.0,41.7,0.2,0.2,100,0.4,1.7,2.1,1.3,0.6,0.2,0.1,7.4
213,Jarace Walker,IND,15,16.3,5.7,2.0,4.8,41.7,1.0,2.5,39.5,0.7,1.1,68.8,0.5,2.9,3.5,1.4,1.3,0.4,1.7,7.5
214,Ben Simmons,BKN,11,24.5,5.7,2.7,4.8,56.6,0.0,0.0,0.0,0.3,0.4,75.0,1.2,4.9,6.1,6.8,0.9,0.5,2.9,15.0
215,Ronald Holland II,DET,17,15.4,5.6,2.2,5.4,40.7,0.3,2.2,13.2,1.0,1.2,85.0,0.6,2.4,3.1,0.5,0.6,0.1,0.7,5.9
216,Jaden Hardy,DAL,14,14.4,5.6,2.1,5.2,39.7,0.6,2.5,25.7,0.8,0.8,100,0.3,1.1,1.4,1.4,0.5,0.1,1.2,4.6
216,Quentin Grimes,DAL,14,17.1,5.6,1.9,4.3,45.0,1.0,2.5,40.0,0.7,0.9,76.9,0.5,2.6,3.1,1.2,0.4,0.1,0.6,7.4
218,Kevon Looney,GSW,12,15.6,5.5,2.2,4.6,47.3,0.0,0.0,0.0,1.2,2.2,53.8,4.1,4.0,8.1,1.7,0.8,0.3,0.7,12.3
218,Terance Mann,LAC,16,21.1,5.5,2.1,5.4,39.1,0.6,2.1,27.3,0.7,0.9,73.3,1.1,2.6,3.7,1.8,0.6,0.3,0.6,7.7
220,Jamison Battle,TOR,15,13.4,5.5,1.9,4.2,44.4,1.3,3.1,41.3,0.5,0.6,77.8,0.7,1.5,2.1,0.8,0.0,0.1,0.3,5.7
221,Dean Wade,CLE,13,22.0,5.5,1.8,4.7,39.3,1.4,3.9,35.3,0.4,0.9,41.7,0.6,3.5,4.2,1.5,1.0,0.4,0.3,8.8
222,Johnny Juzang,UTA,11,15.0,5.5,1.7,4.3,40.4,1.1,3.1,35.3,0.9,0.9,100,0.5,1.2,1.6,0.7,0.5,0.2,0.5,5.5
223,Monté Morris,PHX,12,11.6,5.4,1.8,4.0,45.8,0.8,1.9,39.1,1.0,1.2,85.7,0.2,0.9,1.1,1.3,0.4,0.3,0.4,5.7
224,Ajay Mitchell,OKC,16,16.2,5.4,2.2,4.4,50.0,0.6,1.2,47.4,0.4,0.6,77.8,0.4,1.4,1.8,1.9,0.9,0.1,0.9,6.8
225,Eric Gordon,PHI,12,17.6,5.3,1.7,4.7,35.7,0.8,2.6,29.0,1.2,1.5,77.8,0.2,0.8,1.0,1.3,0.3,0.3,1.1,3.6
